del,id,tweet,subtask_a,subtask_b,subtask_c,cleaned_tweet,stopped,stemmed_tweet,lemmatized_tweet,tweet_length,topic,sentiment_score,sentiment_category,polarity,subjectivity,polarity_class,subjectivity_class,combined_sentiment
8704,40035,"@USER @USER She is now going to the neurorealist crowd to complain that she just wants to be inclusive and that the ND community is attacking her for being white"".""",0,0,0,going neurorealist crowd complain wants inclusive community attacking white,going neurorealist crowd complain wants inclusive community attacking white,go neurorealist crowd complain want inclus communiti attack white,going neurorealist crowd complain want inclusive community attacking white,30,0,-0.6369,-1,0.1,0.05,1,Objective,0
8705,24263,@USER AWWW WE’RE GOING TO MISS YOU :(,0,0,0,awww going miss,awww going miss,awww go miss,awww going miss,8,2,-0.1531,-1,0.4,0.9,1,Subjective,0
8738,31349,@USER Be careful Mr Tepper! Be very careful!!!!,0,0,0,careful tepper careful,careful tepper careful,care tepper care,careful tepper careful,8,0,0.296,1,-0.1,1.0,-1,Subjective,0
8768,43768,@USER @USER I think @USER is corrupt a back biter and a snake,1,0,0,think corrupt back biter snake,think corrupt back biter snake,think corrupt back biter snake,think corrupt back biter snake,13,0,0.0,0,-0.25,0.5,-1,Objective,-1
8775,20001,@USER Now you are a Netflix whisperer? Jack of all trades right here. 😒,0,0,0,netflix whisperer jack trades right,netflix whisperer jack trades right,netflix whisper jack trade right,netflix whisperer jack trade right,14,2,0.0,0,0.285714286,0.535714286,1,Subjective,0
8802,90457,@USER @USER Pm is looking like the extra in the Tory version of SAW 2018 who suddenly realised that she must cut off her own limbs to survive.If she escapes that particular nightmare she is still a politically deceased PM. It's impossible to appease MUKGA Tories that don't want a compromise URL,1,2,1,looking like extra tory version saw 2018 suddenly realised must cut limbs survive escapes particular nightmare still politically deceased impossible appease mukga tories want compromise ,looking like extra tory version saw 2018 suddenly realised must cut limbs survive escapes particular nightmare still politically deceased impossible appease mukga tories want compromise,look like extra tori version saw 2018 sudden realis must cut limb surviv escap particular nightmar still polit deceas imposs appeas mukga tori want compromis,looking like extra tory version saw 2018 suddenly realised must cut limb survive escape particular nightmare still politically deceased impossible appease mukga tory want compromise,52,1,0.5423,1,-0.1,0.406666667,-1,Objective,0
8836,17621,@USER Guilty until proven innocent...right..?,0,0,0,guilty proven innocent right,guilty proven innocent right,guilti proven innoc right,guilty proven innocent right,5,0,-0.1027,-1,0.095238095,0.745238095,1,Subjective,0
8846,42249,"@USER @USER Hey @USER the only men"" not doing the right thing are #liberals and #Democrats:  @USER @USER @USER  Rapists, abusers and criminals.  So you can kiss my white a$$ URL",1,2,3,hey men right thing rapists abusers criminals kiss white ,hey men right thing rapists abusers criminals kiss white,hey men right thing rapist abus crimin kiss white,hey men right thing rapist abuser criminal kiss white,31,2,-0.8779,-1,0.142857143,0.267857143,1,Objective,0
8847,51631,@USER Bless their little entitlement selves. I will never watch another game.,0,0,0,bless little entitlement selves never watch another game,bless little entitlement selves never watch another game,bless littl entitl selv never watch anoth game,bless little entitlement self never watch another game,12,2,0.4215,1,-0.29375,0.45,-1,Objective,0
8854,72259,@USER And he was right,0,0,0,right,right,right,right,5,2,0.0,0,0.285714286,0.535714286,1,Subjective,0
8857,69455,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Or there is a completely reasonable explanation why our own F@USER GOV’T lied to its peeps about a plane hitting the pentagon which is clearly a missile......... 👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼 URL,1,2,2,completely reasonable explanation gov lied peeps plane hitting pentagon clearly missile ,completely reasonable explanation gov lied peeps plane hitting pentagon clearly missile,complet reason explan gov lie peep plane hit pentagon clear missil,completely reasonable explanation gov lied peep plane hitting pentagon clearly missile,79,1,0.0258,0,0.15,0.491666667,1,Objective,0
8864,64022,@USER @USER Silly Joe! I’m a MAGA Of Society 💯🇺🇸❤️🇺🇸❤️🇺🇸... Feel That👊👊,0,0,0,silly joe maga society     feel,silly joe maga society feel,silli joe maga societi feel,silly joe maga society feel,12,1,0.0258,0,-0.5,0.875,-1,Subjective,0
8895,44394,@USER This terrorist fanboy @USER and his saddo @USER cronies are wholly unfit to hold any public office. A proper @USER #Brexit supporting Tory PM would have wiped them out politically by now.,1,2,1,terrorist fanboy saddo cronies wholly unfit hold public office proper supporting tory would wiped politically,terrorist fanboy saddo cronies wholly unfit hold public office proper supporting tory would wiped politically,terrorist fanboy saddo croni wholli unfit hold public offic proper support tori would wipe polit,terrorist fanboy saddo crony wholly unfit hold public office proper supporting tory would wiped politically,33,1,-0.4215,-1,0.0625,0.129166667,1,Objective,0
8937,44067,"@USER After watching the entire match and controversy Serena is lucky she didn't get a match misconduct. She is so upset that the ref. Would give her a warning for her coach coaching"" which he even admitted to. The ref did nothing wrong he enforced the rule and Serena did it like it.""",1,2,1,watching entire match controversy serena lucky get match misconduct upset ref would give warning coach coaching even admitted ref nothing wrong enforced rule serena like,watching entire match controversy serena lucky get match misconduct upset ref would give warning coach coaching even admitted ref nothing wrong enforced rule serena like,watch entir match controversi serena lucki get match misconduct upset ref would give warn coach coach even admit ref noth wrong enforc rule serena like,watching entire match controversy serena lucky get match misconduct upset ref would give warning coach coaching even admitted ref nothing wrong enforced rule serena like,53,0,0.503,1,-0.055555556,0.786111111,-1,Subjective,0
8949,83941,#ShameOnYou #conservatives proud of yourselves for inflicting such horrors on the folk of #Palestinian.…... URL,1,2,3,proud inflicting horrors folk ,proud inflicting horrors folk,proud inflict horror folk,proud inflicting horror folk,15,1,-0.1531,-1,0.8,1.0,1,Subjective,0
8955,19648,@USER Yes you are stalking. That's what a weirdo would do. If my tweets over video games hurt your feelings then go ahead and block me. Lol,1,2,1,yes stalking weirdo would tweets video games hurt feelings ahead block lol,yes stalking weirdo would tweets video games hurt feelings ahead block lol,yes stalk weirdo would tweet video game hurt feel ahead block lol,yes stalking weirdo would tweet video game hurt feeling ahead block lol,27,2,-0.4767,-1,0.8,0.7,1,Subjective,-1
8964,66379,@USER @USER Probably really had more to do with Rubio.,0,0,0,probably really rubio,probably really rubio,probabl realli rubio,probably really rubio,10,2,0.0,0,0.2,0.2,1,Objective,0
8967,90040,@USER @USER I love @USER !! @USER stop your racist censorship now!!,1,2,2,love stop racist censorship,love stop racist censorship,love stop racist censorship,love stop racist censorship,12,1,-0.25,-1,0.5,0.6,1,Subjective,0
9018,57973,@USER @USER This clown need maga listeners.   Nothing more nothing less.   Total fraud.,1,2,1,clown need maga listeners nothing nothing less total fraud,clown need maga listeners nothing nothing less total fraud,clown need maga listen noth noth less total fraud,clown need maga listener nothing nothing less total fraud,13,2,0.4736,1,-0.083333333,0.408333333,-1,Objective,0
9020,82931,@USER He is quite the yarn spinner,0,0,0,quite yarn spinner,quite yarn spinner,quit yarn spinner,quite yarn spinner,7,0,0.0,0,-0.1,0.2,-1,Objective,0
9039,33761,@USER He really bisca fool huh,1,1,0,really bisca fool huh,really bisca fool huh,realli bisca fool huh,really bisca fool huh,6,0,-0.4902,-1,0.2,0.2,1,Objective,-1
9040,64278,@USER @USER @USER Lying PM just like Bliar! End of Tory party &amp; I'm tory party member! Remainers refuse to discuss this with me in Tory party ! Please get rid of this total liar who hooks up with corrupt convict @USER from @USER @USER @USER @USER @USER @USER,1,2,3,lying like bliar end tory party tory party member remainers refuse discuss tory party please get rid total liar hooks corrupt convict,lying like bliar end tory party tory party member remainers refuse discuss tory party please get rid total liar hooks corrupt convict,lie like bliar end tori parti tori parti member remain refus discuss tori parti pleas get rid total liar hook corrupt convict,lying like bliar end tory party tory party member remainers refuse discus tory party please get rid total liar hook corrupt convict,49,1,0.4033,1,-0.25,0.875,-1,Subjective,-1
9059,57453,@USER @USER Exactly,0,0,0,exactly,exactly,exact,exactly,3,0,0.0,0,0.25,0.25,1,Objective,0
9074,94891,@USER Haha the devil himself. Now exposed could not wait any  longer to call for the wall not too be built.,0,0,0,haha devil exposed could wait longer call wall built,haha devil exposed could wait longer call wall built,haha devil expos could wait longer call wall built,haha devil exposed could wait longer call wall built,21,0,-0.4019,-1,0.2,0.3,1,Objective,0
9083,47275,@USER He is eating instead of sleeping! What's new,0,0,0,eating instead sleeping new,eating instead sleeping new,eat instead sleep new,eating instead sleeping new,9,1,0.0,0,0.136363636,0.454545455,1,Objective,0
9092,52810,@USER iconic.,0,0,0,iconic,iconic,icon,iconic,2,0,0.0,0,0.5,0.5,1,Objective,0
9116,60710,@USER @USER 18 year old constitutional and now a ballistic expert with all the answers. Google search trained  #2AShallNotBeInfringed,0,0,0,year old constitutional ballistic expert answers google search trained,year old constitutional ballistic expert answers google search trained,year old constitut ballist expert answer googl search train,year old constitutional ballistic expert answer google search trained,19,2,0.0,0,0.1,0.2,1,Objective,0
9121,20512,@USER Because you could not even begin to respond since you can’t speak in full sentences and your words are so limited,1,2,1,could even begin respond since speak full sentences words limited,could even begin respond since speak full sentences words limited,could even begin respond sinc speak full sentenc word limit,could even begin respond since speak full sentence word limited,22,0,-0.1531,-1,0.139285714,0.346428571,1,Objective,0
9128,12332,@USER @USER does that mean He still our #superman ? Pleaseeeeee say he is 🙏🏼🙏🏼🙏🏼🙏🏼,0,0,0,mean still pleaseee say,mean still pleaseee say,mean still pleasee say,mean still pleaseee say,15,1,0.0,0,-0.3125,0.6875,-1,Subjective,0
9137,22258,@USER Right on 👍👍  #MAGA 🇺🇸🙏🇺🇸 #WWG1WGA 🇺🇸👊🇺🇸,0,0,0,right,right,right,right,8,2,0.0,0,0.285714286,0.535714286,1,Subjective,0
9147,10979,"@USER @USER Sadder still, these guys exist because of a bunch of far-left children that dress like ISIS, burn flags and attack journalists.  Yet our young leftists activists posing as journalists"" don't even cover the group #antifa that does all of the violence. Talk about bizarro world!""",0,0,0,sadder still guys exist bunch far left children dress like isis burn flags attack journalists yet young leftists activists posing journalists even cover group violence talk bizarro world,sadder still guys exist bunch far left children dress like isis burn flags attack journalists yet young leftists activists posing journalists even cover group violence talk bizarro world,sadder still guy exist bunch far left children dress like isi burn flag attack journalist yet young leftist activist pose journalist even cover group violenc talk bizarro world,sadder still guy exist bunch far left child dress like isi burn flag attack journalist yet young leftist activist posing journalist even cover group violence talk bizarro world,47,0,-0.8442,-1,0.066666667,0.466666667,1,Objective,0
9169,21885,"@USER Hey #MichaelMoore .... have another hot fudge Sunday cookie dough bacon fat pizza .....""  #WalkAway #MAGA   @USER @USER @USER @USER @USER @USER",0,0,0,hey another hot fudge sunday cookie dough bacon fat pizza,hey another hot fudge sunday cookie dough bacon fat pizza,hey anoth hot fudg sunday cooki dough bacon fat pizza,hey another hot fudge sunday cookie dough bacon fat pizza,23,2,0.0,0,0.25,0.85,1,Subjective,0
9187,64505,#Political zealotry &amp; #tribalism are the new #religion. #America has a problem. Are you contributing to it?URL #partisanship #tcot #Conservatives #conservative #GOP #Democrats #Progressives #Liberals #think  #Reason,0,0,0,zealotry new problem contributing ,zealotry new problem contributing,zealotri new problem contribut,zealotry new problem contributing,27,2,-0.4019,-1,0.136363636,0.454545455,1,Objective,0
9208,76616,@USER Eric (fast n furious) holder,0,0,0,eric fast furious holder,eric fast furious holder,eric fast furious holder,eric fast furious holder,6,0,-0.5719,-1,0.2,0.6,1,Subjective,0
9213,75591,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER False 🤣,0,0,0,FALSE,FALSE,fals,FALSE,51,0,0.0,0,-0.4,0.6,-1,Subjective,0
9255,90300,@USER dallon you just said lit i'm sorry sweetie but you are cancelled,1,0,0,dallon said lit sorry sweetie cancelled,dallon said lit sorry sweetie cancelled,dallon said lit sorri sweeti cancel,dallon said lit sorry sweetie cancelled,13,1,0.2263,1,-0.5,1.0,-1,Subjective,-1
9263,96880,@USER Hitler would be so proud of David Hogg trying to disarm American citizen so when Democrats come to power-we are helpless And cannot defend ourselves-&amp; that's why we have they AR15's URL,1,0,0,hitler would proud david hogg trying disarm american citizen democrats come power helpless cannot defend ar15 ,hitler would proud david hogg trying disarm american citizen democrats come power helpless cannot defend ar15,hitler would proud david hogg tri disarm american citizen democrat come power helpless cannot defend ar15,hitler would proud david hogg trying disarm american citizen democrat come power helpless cannot defend ar15,33,1,0.0258,0,0.4,0.5,1,Objective,-1
9266,84745,@USER Monster is the place to find jobs near you. These companies are hiring right now! Your future could change when you fill out an application: URL ^LD,0,0,0,monster place find jobs near companies hiring right future could change fill application ,monster place find jobs near companies hiring right future could change fill application,monster place find job near compani hire right futur could chang fill applic,monster place find job near company hiring right future could change fill application,28,1,0.0,0,0.128571429,0.353571429,1,Objective,0
9287,29683,followed all not previously followed.  #maga #kag #walkaway #trumptrain #nodaca #iwantthewall URL,0,0,0,followed previously followed ,followed previously followed,follow previous follow,followed previously followed,12,1,0.0,0,-0.166666667,0.166666667,-1,Objective,0
9301,84287,@USER Climbs up the charts in Christian Music...only to wither as a fig on a tree as a false prophet. That is @USER,1,2,1,climbs charts christian music wither fig tree false prophet,climbs charts christian music wither fig tree false prophet,climb chart christian music wither fig tree fals prophet,climb chart christian music wither fig tree false prophet,23,0,0.0,0,-0.2,0.3,-1,Objective,0
9324,58194,@USER @USER Flake is a real flake,0,0,0,flake real flake,flake real flake,flake real flake,flake real flake,7,0,0.0,0,0.2,0.3,1,Objective,0
9336,17202,@USER @USER @USER He is an emotionally detached and cautious man.  His youthful (1965 to 1970) military service and connections to naval intelligence have never really been talked about. I think that there is still some Deep Throat stuff that was hidden by the outing of a confused  Mark Felt.,0,0,0,emotionally detached cautious man youthful 1965 1970 military service connections naval intelligence never really talked think still deep throat stuff hidden outing confused mark felt,emotionally detached cautious man youthful 1965 1970 military service connections naval intelligence never really talked think still deep throat stuff hidden outing confused mark felt,emot detach cautious man youth 1965 1970 militari servic connect naval intellig never realli talk think still deep throat stuff hidden outing confus mark felt,emotionally detached cautious man youthful 1965 1970 military service connection naval intelligence never really talked think still deep throat stuff hidden outing confused mark felt,50,0,0.296,1,-0.127777778,0.397222222,-1,Objective,0
9337,68883,@USER First Amendment,0,0,0,first amendment,first amendment,first amend,first amendment,3,0,0.0,0,0.25,0.333333333,1,Objective,0
9347,86615,@USER Too late. #ANTIFA,0,0,0,late,late,late,late,4,1,0.0,0,-0.3,0.6,-1,Subjective,0
9352,84300,@USER @USER You are so right,0,0,0,right,right,right,right,6,2,0.0,0,0.285714286,0.535714286,1,Subjective,0
9377,12533,"@USER @USER Aunt Crabby, will you bake her some SPECIAL"" cookies so she will children out! I worry she is going to have a heat attack!""",0,0,0,aunt crabby bake special cookies children worry going heat attack,aunt crabby bake special cookies children worry going heat attack,aunt crabbi bake special cooki children worri go heat attack,aunt crabby bake special cooky child worry going heat attack,26,0,-0.5106,-1,0.357142857,0.571428571,1,Subjective,0
9392,58738,@USER You are right ✊,0,0,0,right ,right,right,right,5,2,0.0,0,0.285714286,0.535714286,1,Subjective,0
9399,84985,"@USER @USER @USER I hope all remember and think real"" hard.  Folks, you are just a Carbon Reduction to them. And they are looking for MORE.  URL",0,0,0,hope remember think real hard folks carbon reduction looking ,hope remember think real hard folks carbon reduction looking,hope rememb think real hard folk carbon reduct look,hope remember think real hard folk carbon reduction looking,27,0,0.3612,1,-0.4375,0.8125,-1,Subjective,0
9404,68928,@USER Ummm you can't hear what she hears because you're not bat poop crazy like she is.,1,2,1,ummm hear hears bat poop crazy like,ummm hear hears bat poop crazy like,ummm hear hear bat poop crazi like,ummm hear hears bat poop crazy like,17,2,0.0258,0,-0.6,0.9,-1,Subjective,0
9422,57171,@USER @USER @USER @USER Yes im the cousin of the infamous Cheese! 🤣,0,0,0,yes cousin infamous cheese,yes cousin infamous cheese,yes cousin infam chees,yes cousin infamous cheese,13,0,0.4019,1,-0.5,1.0,-1,Subjective,0
9492,37828,@USER She is by far the most pretentious little try-hard housemate in there this year. So cringeworthy. #BBUK,1,2,1,far pretentious little try hard housemate year cringeworthy,far pretentious little try hard housemate year cringeworthy,far pretenti littl tri hard housem year cringeworthi,far pretentious little try hard housemate year cringeworthy,18,0,-0.0314,0,-0.169791667,0.685416667,-1,Subjective,0
9523,40588,@USER You guys really just did this on cue....  #MAGA #MKUltra,0,0,0,guys really cue,guys really cue,guy realli cue,guy really cue,11,2,0.0,0,0.2,0.2,1,Objective,0
9531,51303,@USER Orin Hatch was born in 1934. He is 84 years old. He is completely out of touch and will not be around to see or to be accountable for his actions. This is why we need term limits!,0,0,0,orin hatch born 1934 years old completely touch around see accountable actions need term limits,orin hatch born 1934 years old completely touch around see accountable actions need term limits,orin hatch born 1934 year old complet touch around see account action need term limit,orin hatch born 1934 year old completely touch around see accountable action need term limit,39,0,0.0,0,0.1,0.3,1,Objective,0
9537,55753,@USER @USER the films with bale in got sucky as they went along? so what you’re saying is that batman begins was better than the dark knight and dark knight rises? your comment makes no sense therefore you are invalid,0,0,0,films bale got sucky went along saying batman begins better dark knight dark knight rises comment makes sense therefore invalid,films bale got sucky went along saying batman begins better dark knight dark knight rises comment makes sense therefore invalid,film bale got sucki went along say batman begin better dark knight dark knight rise comment make sens therefor invalid,film bale got sucky went along saying batman begin better dark knight dark knight rise comment make sense therefore invalid,40,2,0.0,0,0.066666667,0.433333333,1,Objective,0
9551,12117,@USER I think he WAS black. But thank God the police here behaved professionally. She is SCARY!,1,2,1,think black thank god police behaved professionally scary,think black thank god police behaved professionally scary,think black thank god polic behav profession scari,think black thank god police behaved professionally scary,17,2,0.1027,1,-0.333333333,0.716666667,-1,Subjective,-1
9554,46408,@USER @USER He is past his sell-by date.,0,0,0,past sell date,past sell date,past sell date,past sell date,8,1,0.0,0,-0.25,0.25,-1,Objective,0
9569,57866,@USER HOW CAN PELOSI BE SPEAKER? SHE IS MENTALLY IMPAIRED,0,0,0,pelosi speaker mentally impaired,pelosi speaker mentally impaired,pelosi speaker mental impair,pelosi speaker mentally impaired,10,2,0.0,0,-0.1,0.2,-1,Objective,0
9574,65031,@USER She is so right!,0,0,0,right,right,right,right,5,2,0.0,0,0.285714286,0.535714286,1,Subjective,0
9575,64350,@USER about as high as he is,0,0,0,high,high,high,high,7,2,0.0,0,0.16,0.54,1,Subjective,0
9636,57067,@USER @USER @USER Hi would  you come to ENGLAND and have time of your life you want be disappointed I will give you a orgasim like nothing you have gotten probably in your past life I will make you piss yourself many times as you like so if you are interested call or inbox me 07405077156 WhatsApp,1,1,0,would come england time life want disappointed give orgasim like nothing gotten probably past life make piss many times like interested call inbox 07405077156 whatsapp,would come england time life want disappointed give orgasim like nothing gotten probably past life make piss many times like interested call inbox 07405077156 whatsapp,would come england time life want disappoint give orgasim like noth gotten probabl past life make piss mani time like interest call inbox 07405077156 whatsapp,would come england time life want disappointed give orgasim like nothing gotten probably past life make piss many time like interested call inbox 07405077156 whatsapp,57,0,0.296,1,-0.0625,0.5,-1,Objective,0
9641,63371,@USER Doing soooo much better than the big Zero and his losers,1,2,3,sooo much better big zero losers,sooo much better big zero losers,sooo much better big zero loser,sooo much better big zero loser,12,1,-0.128,-1,0.1,0.266666667,1,Objective,0
9667,32956,@USER @USER the ironic part about this tweet is that the model in this gif teased a darkskin model for her natural 4c hair,1,0,0,ironic part tweet model gif teased darkskin model natural hair,ironic part tweet model gif teased darkskin model natural hair,iron part tweet model gif teas darkskin model natur hair,ironic part tweet model gif teased darkskin model natural hair,24,1,-0.0516,-1,0.15,0.65,1,Subjective,-1
9670,92597,@USER Because Gutierrez is corrupt and so are the unions there.,1,2,1,gutierrez corrupt unions,gutierrez corrupt unions,gutierrez corrupt union,gutierrez corrupt union,11,0,0.0,0,-0.5,1.0,-1,Subjective,-1
9691,74596,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER He calls him “Wil” because he knew him.  Because he is old.,0,0,0,calls wil knew old,calls wil knew old,call wil knew old,call wil knew old,23,0,0.0,0,0.1,0.2,1,Objective,0
9747,49569,@USER you are absolutely right i am a Fool,1,2,1,absolutely right fool,absolutely right fool,absolut right fool,absolutely right fool,9,2,-0.4902,-1,0.285714286,0.535714286,1,Subjective,-1
9751,58418,@USER @USER RBG next! Can’t wait! The hateful intolerant racists on the left will not win! RBG NEXT!!!! MAGA,1,2,3,rbg next wait hateful intolerant racists left win rbg next maga,rbg next wait hateful intolerant racists left win rbg next maga,rbg next wait hate intoler racist left win rbg next maga,rbg next wait hateful intolerant racist left win rbg next maga,19,0,-0.5267,-1,0.2,0.1,1,Objective,0
9792,48443,@USER I seems Hannity has been a client of the Bunny Bar (at the Bunny Ranch) for years (30+). He (allegedly) recruits Fox ‘talent’ and guest speakers from there. URL,0,0,0,seems hannity client bunny bar bunny ranch years allegedly recruits fox  talent guest speakers ,seems hannity client bunny bar bunny ranch years allegedly recruits fox talent guest speakers,seem hanniti client bunni bar bunni ranch year alleg recruit fox talent guest speaker,seems hannity client bunny bar bunny ranch year allegedly recruit fox talent guest speaker,30,2,0.4215,1,-0.1,0.1,-1,Objective,0
9812,66218,@USER Eric maybe jail for you.,0,0,0,eric maybe jail,eric maybe jail,eric mayb jail,eric maybe jail,6,0,0.0,0,-0.1,0.0,-1,Objective,0
9826,88220,@USER Becoming..... a woman?,0,0,0,becoming woman,becoming woman,becom woman,becoming woman,4,0,0.0,0,0.45,0.85,1,Subjective,0
9842,34204,@USER @USER your disrespect for those that make real sacrifices to defend our freedom is appalling.  @USER is a punk.,1,2,1,disrespect make real sacrifices defend freedom appalling punk,disrespect make real sacrifices defend freedom appalling punk,disrespect make real sacrific defend freedom appal punk,disrespect make real sacrifice defend freedom appalling punk,20,2,-0.0258,0,-0.075,0.6,-1,Subjective,0
9851,38525,What was this Young Lady doing in a room with two boys ? #Blackmail #BrettKavanaughHighSchoolConfessions #ConfirmJudgeKavanaugh #ConfirmJudgeKavanaugh #BoycottTheView #BoycottNFL #BoycottNike #MAGA URL,1,0,0,young lady room two boys ,young lady room two boys,young ladi room two boy,young lady room two boy,22,2,0.0,0,0.1,0.4,1,Objective,-1
9896,20253,@USER you are a sorry excuse of a rep - I hope that your district votes accordingly-you need to go!  Your nose is so brown it will never be clean! URL,1,2,1,sorry excuse rep hope district votes accordingly need nose brown never clean ,sorry excuse rep hope district votes accordingly need nose brown never clean,sorri excus rep hope district vote accord need nose brown never clean,sorry excuse rep hope district vote accordingly need nose brown never clean,31,2,0.1635,1,-0.244444444,0.583333333,-1,Subjective,0
9912,28588,@USER they're hot bro,1,1,0,hot bro,hot bro,hot bro,hot bro,4,2,0.0,0,0.25,0.85,1,Subjective,0
9923,33449,@USER The first person got it by having sex with animals..,1,1,0,first person got sex animals,first person got sex animals,first person got sex anim,first person got sex animal,11,2,0.0,0,0.25,0.333333333,1,Objective,-1
9940,50663,@USER //HE IS A DETECTIVE SO I MEAN  I GUESS THEY COULD WORK TOGETHER,0,0,0,detective mean guess could work together,detective mean guess could work together,detect mean guess could work togeth,detective mean guess could work together,14,2,0.0,0,-0.3125,0.6875,-1,Subjective,0
9943,42312,"* he starred in two movie and drama tv series. while it's impossible not to notice his strinkingly handsome looks, it's what lies beneath what define who he is ...  "" in conclusion if english is a common working language in asia for regional cooperation and development ...""",0,0,0,starred two movie drama series impossible notice strinkingly handsome looks lies beneath define conclusion english common working language asia regional cooperation development,starred two movie drama series impossible notice strinkingly handsome looks lies beneath define conclusion english common working language asia regional cooperation development,star two movi drama seri imposs notic strink handsom look lie beneath defin conclus english common work languag asia region cooper develop,starred two movie drama series impossible notice strinkingly handsome look lie beneath define conclusion english common working language asia regional cooperation development,48,1,0.4939,1,-0.116666667,0.625,-1,Subjective,0
9972,80409,@USER T1960  Set 24 years before T1 in 1960 Texas t-800 with no skin sent to kill Sarah’s parents on their isolated farm b4 she is born  Sara dad played by Arnie fights t800 n wins but while holding defeated T800 get sucked to the future - explains why t800 R modeled after Arnie looks,0,0,0,t1960 set years 1960 texas 800 skin sent kill sarah parents isolated farm born sara dad played arnie fights t800 wins holding defeated t800 get sucked future explains t800 modeled arnie looks,t1960 set years 1960 texas 800 skin sent kill sarah parents isolated farm born sara dad played arnie fights t800 wins holding defeated t800 get sucked future explains t800 modeled arnie looks,t1960 set year 1960 texa 800 skin sent kill sarah parent isol farm born sara dad play arni fight t800 win hold defeat t800 get suck futur explain t800 model arni look,t1960 set year 1960 texas 800 skin sent kill sarah parent isolated farm born sara dad played arnie fight t800 win holding defeated t800 get sucked future explains t800 modeled arnie look,55,0,-0.8591,-1,0.15,0.1625,1,Objective,0
9973,69991,-💡Leaks💡- Here are two badges that Barbie has recently added to Royale High and looks like she is doing something with the Autumn town and Fantasia Getaway! @USER @USER @USER @USER URL,0,0,0,leaks two badges barbie recently added royale high looks like something autumn town fantasia getaway ,leaks two badges barbie recently added royale high looks like something autumn town fantasia getaway,leak two badg barbi recent ad royal high look like someth autumn town fantasia getaway,leak two badge barbie recently added royale high look like something autumn town fantasia getaway,32,1,0.0258,0,0.08,0.395,1,Objective,0
9975,73310,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER He looks familiar....serial female abuser maybe??,1,0,0,looks familiar serial female abuser maybe,looks familiar serial female abuser maybe,look familiar serial femal abus mayb,look familiar serial female abuser maybe,17,1,-0.5574,-1,0.1875,0.333333333,1,Objective,-1
10007,91341,@USER @USER @USER if you're hosting them you are AT LEAST nominating them for a prize! Don't be teasers!,0,0,0,hosting least nominating prize teasers,hosting least nominating prize teasers,host least nomin prize teaser,hosting least nominating prize teaser,19,0,0.3182,1,-0.3,0.4,-1,Objective,0
10065,45210,@USER @USER @USER @USER I’m just saying he’s not playing like how he should be for the amount he’s getting paid I’m sorry to let you down. URL,0,0,0,saying playing like amount getting paid sorry let ,saying playing like amount getting paid sorry let,say play like amount get paid sorri let,saying playing like amount getting paid sorry let,28,2,0.4588,1,-0.5,1.0,-1,Subjective,0
10075,21920,@USER keep up all you do blair you are an incredible person,0,0,0,keep blair incredible person,keep blair incredible person,keep blair incred person,keep blair incredible person,12,2,0.0,0,0.9,0.9,1,Subjective,0
10122,75052,#MAGA much? URL,0,0,0,much ,much,much,much,3,0,0.0,0,0.2,0.2,1,Objective,0
10134,58079,@USER @USER @USER You are as cheap as cheap she is...Try with Bible and Quran if you really have guts,1,2,1,cheap cheap try bible quran really guts,cheap cheap try bible quran really guts,cheap cheap tri bibl quran realli gut,cheap cheap try bible quran really gut,20,0,0.0,0,0.333333333,0.533333333,1,Subjective,0
10136,59882,@USER @USER Omfg 😂😂😂😂😂  You are so right 😂,0,0,0,omfg right,omfg right,omfg right,omfg right,9,2,0.0,0,0.285714286,0.535714286,1,Subjective,0
10139,73488,@USER @USER He is a disgrace he needs to resign or the citizens of Maricopa County need to start a recall.  If he FUBAR’s the General Election that should be it. No waiting until 2020.,1,2,1,disgrace needs resign citizens maricopa county need start recall fubar general election waiting 2020,disgrace needs resign citizens maricopa county need start recall fubar general election waiting 2020,disgrac need resign citizen maricopa counti need start recal fubar general elect wait 2020,disgrace need resign citizen maricopa county need start recall fubar general election waiting 2020,35,2,-0.8625,-1,0.05,0.5,1,Objective,0
10156,54247,"@USER If it's REALLY bad don't eat it, but when the waiter asks, you are obliged to say it was lovely"". Remember you can always get a kebab on the way home.""",0,0,0,really bad eat waiter asks obliged say lovely remember always get kebab way home,really bad eat waiter asks obliged say lovely remember always get kebab way home,realli bad eat waiter ask oblig say love rememb alway get kebab way home,really bad eat waiter asks obliged say lovely remember always get kebab way home,32,1,0.0018,0,-0.1,0.708333333,-1,Subjective,0
